name,usage
ADAM,English
ADAM,French
ADAM,German
ADAM,Polish
ADAM,Dutch
ADAM,Swedish
ADAM,Norwegian
ADAM,Danish
ADAM,Czech
ADAM,Slovak
ADAM,Russian
ADAM,Ukrainian
ADAM,Croatian
ADAM,Serbian
ADAM,Macedonian
ADAM,Romanian
ADAM,Catalan
ADAM,Greek
ADAM,Hebrew
ADAM,Arabic
ADAM,Georgian
ADAM,Biblical
ADAM,Biblical Latin
ADAM,Biblical Greek
ADAM,Biblical Hebrew
ADAMINA,English
ADAMO,Italian
ADAMOU,Western African
ADAMU,Old Church Slavic
ADÁN,Spanish
ADANNA,Western African
ADANNA,Igbo
ADANNAYA,Western African
ADANNAYA,Igbo
ADÃO,Portuguese
ADARA,Hebrew
ADDE,Frisian
ADDIE,English
ADDILYN,English
ADDISON,English
ADDY ,English
ADDY ,Medieval English
ADDYSON,English
ADE ,Western African
ADE ,Yoruba
ADE ,Frisian
ADEBAYO,Western African
ADEBAYO,Yoruba
ADEBOLA,Western African
ADEBOLA,Yoruba
ADEBOWALE,Western African
ADEBOWALE,Yoruba
ADEDAYO,Western African
ADEDAYO,Yoruba
ADEGOKE,Western African
ADEGOKE,Yoruba
ADÉL,Hungarian
ADEL,Persian
ADEL,Arabic
ADÉLA,Czech
ADELA,English
ADELA,Spanish
ADELA,Romanian
ADELA,Polish
ADELA,Slovak
ADELA,Ancient Germanic
ADELAIDA,Spanish
ADÉLAÏDE,French
ADELAIDE,English
ADELAIDE,Italian
ADELAIDE,Portuguese
ADELAIS,Ancient Germanic
ADELAJDA,Polish
ADÉLARD,French
ADELARDO,Spanish
ADELARDO,Italian
ADELBERT,German
ADELBERT,Dutch
ADÈLE,French
ADELE,German
ADELE,English
ADELE,Italian
ADELĖ,Lithuanian
ADELHEID,German
ADELHEID,Dutch
ADELIA,English
ADELIA,Spanish
ADÉLIE,French
ADELINA,Italian
ADELINA,Portuguese
ADELINA,Spanish
ADELINA,Romanian
ADELINA,Bulgarian
ADELINA,Ancient Germanic
ADELINE,French
ADELINE,English
ADELITA,Spanish
ADELLA,English
ADELLE,English
ADELMAR,Ancient Germanic
ADELMAR,Portuguese
ADELYN,English
ADELYNN,English
ADEM,Turkish
ADEMAR,Portuguese
ADEMARO,Italian
ADEMIR,Portuguese
ADEN,English
ADENA,English
ADENIKE,Western African
ADENIKE,Yoruba
ADEODATUS,Late Roman
ADERYN,Welsh
ADETOKUNBO,Western African
ADETOKUNBO,Yoruba
ÁDHAMH,Irish
ADHARA,Astronomy
ADHIAMBO,Eastern African
ADHIAMBO,Luo
ADI ,Hebrew
ADI ,Indonesian
ADI ,German
ADI ,Romanian
ADIL,Arabic
ADIL,Turkish
ADIL,Urdu
ADIL,Uyghur
ADILA,Arabic
ADILE,Turkish
ADILET,Kyrgyz
ADILET,Kazakh
ADIN,Bosnian
ADINA ,Biblical
ADINA ,Biblical Latin
ADINA ,Biblical Greek
ADINA ,Hebrew
ADINA ,Romanian
'ADINAH,Biblical Hebrew
ADINO,Biblical
ADIR,Hebrew
ADISA,Western African
ADISA,Yoruba
ADITI,Hinduism
ADITI,Indian
ADITI,Hindi
ADITI,Marathi
ADITI,Bengali
ADITI,Kannada
ADITYA,Hinduism
ADITYA,Indian
ADITYA,Hindi
ADITYA,Marathi
ADITYA,Malayalam
ADITYA,Kannada
ADITYA,Telugu
ADITYA,Tamil
ADITYA,Nepali
ADITYA,Indonesian
ADJOA,Western African
ADJOA,Akan
ADLAI,Biblical
ADLAI,Biblical Hebrew
ADMIR,Bosnian
ADMIR,Albanian
ADNA,Bosnian
ADNAN,Arabic
ADNAN,Turkish
ADNAN,Bosnian
ADNAN,Urdu
ADOLF,German
ADOLF,Dutch
ADOLF,Swedish
ADOLF,Norwegian
ADOLF,Danish
ADOLF,Czech
ADOLF,Hungarian
ADOLF,Polish
ADOLF,Ancient Germanic
ADOLFITO,Spanish
ADOLFO,Italian
ADOLFO,Spanish
ADOLPH,English
ADOLPHE,French
ADOLPHUS,Ancient Germanic
ADOMAS,Lithuanian
ADONAI,Theology
ADONE,Italian
ADONIJAH,Biblical
ADONIRAM,Biblical
ADONIRAM,Biblical Hebrew
ADONIS,Greek Mythology
'ADONIYAH,Biblical Hebrew
ADORA,Spanish
ADORACIÓN,Spanish
ADORINDA,Esperanto
ADORJÁN,Hungarian
ADRASTEA,Greek Mythology
ADRASTEIA,Greek Mythology
ADRASTOS,Greek Mythology
ADRIA,English
ADRIÀ,Catalan
ADRIAAN,Dutch
ADRIÁN,Spanish
ADRIÁN,Hungarian
ADRIÁN,Slovak
ADRIAN,English
ADRIAN,Romanian
ADRIAN,Polish
ADRIAN,German
ADRIAN,Swedish
ADRIAN,Norwegian
ADRIAN,Danish
ADRIAN,Russian
ADRIANA,Italian
ADRIANA,Spanish
ADRIANA,Portuguese
ADRIANA,Romanian
ADRIANA,Polish
ADRIANA,Slovak
ADRIANA,Czech
ADRIANA,Bulgarian
ADRIANA,English
ADRIANA,Dutch
ADRIANNA,English
ADRIANNA,Polish
ADRIANNE,English
ADRIANO,Italian
ADRIANO,Portuguese
ADRIANUS,Dutch
ADRIEL,Biblical
ADRIEL,Biblical Hebrew
ADRIEN,French
ADRIENE,Portuguese
ADRIENN,Hungarian
ADRIENNE,French
ADRIENNE,English
ADRIJAN,Croatian
ADRIJAN,Macedonian
ADRIJANA,Slovene
ADRIJANA,Serbian
ADRIJANA,Croatian
ADRIJANA,Macedonian
ADSILA,Indigenous American
ADSILA,Cherokee
ADVA,Hebrew
ADWOA,Western African
ADWOA,Akan
ADZO,Western African
ADZO,Ewe
ÆBBE,Anglo-Saxon
ÁED,Ancient Irish
ÁED,Irish Mythology
ÁEDÁN,Ancient Irish
ÁEDÁN,Irish Mythology
ÁEDH,Ancient Irish
AEGIDIUS,Late Roman
AEGLE,Greek Mythology
ÆLFFLÆD,Anglo-Saxon
ÆLFGAR,Anglo-Saxon
ÆLFGIFU,Anglo-Saxon
ÆLFHEAH,Anglo-Saxon
ÆLFNOÐ,Anglo-Saxon
ÆLFRÆD,Anglo-Saxon
ÆLFRIC,Anglo-Saxon
ÆLFSIGE,Anglo-Saxon
ÆLFSTAN,Anglo-Saxon
ÆLFSWIÞ,Anglo-Saxon
ÆLFÞRYÐ,Anglo-Saxon
ÆLFTHRYTH,Anglo-Saxon
ÆLFWEARD,Anglo-Saxon
ÆLFWIG,Anglo-Saxon
ÆLFWINE,Anglo-Saxon
AELIA,Ancient Roman
AELIANA,Ancient Roman
AELIANUS,Ancient Roman
AELITA,Literature
AELITA,Russian
AELITA,Latvian
AELIUS,Ancient Roman
AELLA,Greek Mythology
ÆLRED,Anglo-Saxon
AEMILIA,Ancient Roman
AEMILIANA,Ancient Roman
AEMILIANUS,Ancient Roman
AEMILIUS,Ancient Roman
AENEAS,Roman Mythology
AENGUS,Irish
AENOR,Ancient Germanic
AEOLUS,Greek Mythology
AERON,Welsh
AERONA,Welsh
AERONWEN,Welsh
AERONWY,Welsh
ÆSC,Anglo-Saxon
AESCHYLUS,Ancient Greek
AESCULAPIUS,Greek Mythology
AESON,Greek Mythology
AESOP,Ancient Greek
ÆÞELBEORHT,Anglo-Saxon
ÆÐELBERHT,Anglo-Saxon
ÆÐELFLÆD,Anglo-Saxon
ÆTHELFLÆD,Anglo-Saxon
ÆÐELFRIÐ,Anglo-Saxon
ÆÐELMÆR,Anglo-Saxon
ÆTHELNOÐ,Anglo-Saxon
ÆÐELRÆD,Anglo-Saxon
ÆÞELRÆD,Anglo-Saxon
ÆTHELRED,Anglo-Saxon
ÆÐELRIC,Anglo-Saxon
ÆTHELRIC,Anglo-Saxon
ÆÐELSTAN,Anglo-Saxon
ÆTHELSTAN,Anglo-Saxon
ÆÐELÞRYÐ,Anglo-Saxon
ÆTHELTHRYTH,Anglo-Saxon
ÆTHELWEARD,Anglo-Saxon
ÆÐELWINE,Anglo-Saxon
ÆTHELWINE,Anglo-Saxon
AETIUS,Ancient Roman
AFAF,Arabic
AFAN,Bosnian
AFANASIY,Russian
AFANASY,Russian
AFANEN,Welsh
AFËRDITA,Albanian
AFFAN,Arabic
AFI,Western African
AFI,Ewe
AFIA,Western African
AFIA,Akan
AFIF,Arabic
AFINA,Greek Mythology
AFOLABI,Western African
AFOLABI,Yoruba
AFON,Welsh
AFONSO,Portuguese
AFONSO,Galician
AFONYA,Russian
AFRA ,Late Roman
AFRA ,Italian
AFRA ,Arabic
ÁFRICA,Spanish
ÀFRICA,Catalan
AFRICA ,African American
AFRICA ,Irish
AFRICA ,Scottish
AFRICANUS,Ancient Roman
AFRIM,Albanian
AFRODITA,Greek Mythology
AFRODITE,Greek Mythology
AFRODITI,Greek
AFSOON,Persian
AFSOUN,Persian
AFSUN,Persian
AFUA,Western African
AFUA,Akan
AFZAL,Arabic
AGAFON,Russian
AGAFYA,Russian
AGAM,Hebrew
AGAMEMNON,Greek Mythology
AGAMEMNON,Greek
AGAPE,Ancient Greek
AGAPETOS,Ancient Greek
AGAPETUS,Ancient Greek
AGAPI,Greek
AGAPIOS,Greek
AGAPIOS,Ancient Greek
AGAPITO,Spanish
AGAPITO,Italian
AGAPITOS,Greek
AGAR,Biblical Latin
AGAR,Biblical Greek
AGAR,Biblical French
AGAR,Biblical Italian
AGÁTA,Czech
AGÁTA,Slovak
AGATA,Italian
AGATA,Spanish
AGATA,Polish
AGATA,Slovene
AGATA,Russian
AGATA,Croatian
AGATA,Serbian
AGATA,Swedish
AGATHA,English
AGATHA,Ancient Greek
AGATHANGELOS,Late Greek
AGATHE,French
AGATHE,German
AGATHE,Norwegian
AGATHE,Danish
AGATHE,Ancient Greek
AGATHI,Greek
AGATHINOS,Ancient Greek
AGATHINUS,Ancient Greek
AGATHON,Ancient Greek
AGATINO,Italian
AGATKA,Polish
AGAUE,Greek Mythology
AGDA,Swedish
ÅGE,Norwegian
AGE ,Frisian
AGE ,Estonian
AGGIE,English
AGHAVNI,Armenian
AGHI,Ancient Scandinavian
AGHIL,Persian
ÁGI,Hungarian
AGI,Ancient Germanic
AGILMAR,Ancient Germanic
AGILULF,Ancient Germanic
AGIM,Albanian
AGLAÉ,French
AGLAEA,Greek Mythology
AGLAIA,Greek Mythology
AGLAIA,Greek
AGLAYA,Russian
AGMUNDR,Ancient Scandinavian
AGNAR,Norwegian
AGNAR,Icelandic
AGNARR,Ancient Scandinavian
AGNĖ,Lithuanian
AGNER,Danish
ÁGNES,Hungarian
AGNÈS,French
AGNÈS,Catalan
AGNES,English
AGNES,German
AGNES,Dutch
AGNES,Swedish
AGNES,Norwegian
AGNES,Danish
AGNES,Icelandic
AGNES,Estonian
AGNES,Ancient Greek
AGNEŠA,Slovak
AGNESA,Slovak
AGNESA,Albanian
AGNESE,Italian
AGNESE,Latvian
AGNESSA,Russian
AGNETA,Swedish
AGNETE,Danish
AGNETE,Norwegian
AGNETHA,Swedish
AGNETHE,Danish
AGNETHE,Norwegian
AGNEZA,Croatian
AGNI ,Hinduism
AGNI ,Indian
AGNI ,Hindi
AGNI ,Greek
AGNIA,Russian
AGNIESZKA,Polish
AGNIJA,Serbian
AGNIJA,Macedonian
AGNIJA,Latvian
AGNIYA,Russian
AGOSTINA,Italian
AGOSTINHO,Portuguese
AGOSTINO,Italian
ÁGOSTON,Hungarian
ÅGOT,Norwegian
ÁGOTA,Hungarian
AGRAFENA,Russian
AGRIPPA,Ancient Roman
AGRIPPA,Biblical
AGRIPPINA,Ancient Roman
AGRONA,Celtic Mythology
ÁGUEDA,Spanish
ÁGUEDA,Portuguese
AGUNG,Indonesian
AGURNE,Basque
AGURTZANE,Basque
AGUS,Indonesian
AGUSTÍ,Catalan
AGUSTÍN,Spanish
AGUSTINA,Spanish
AH,Chinese
AHAB,Biblical
AHAB,Biblical Latin
AHARON,Hebrew
AHARON,Biblical Hebrew
AHAVA,Hebrew
AHENOBARBUS,Ancient Roman
AHINOAM,Biblical
ƏHMƏD,Azerbaijani
AHMAD,Arabic
AHMAD,Persian
AHMAD,Urdu
AHMAD,Bengali
AHMAD,Pashto
AHMAD,Indonesian
AHMAD,Malay
AHMAD,Avar
AHMADU,Western African
AHMADU,Hausa
AHMED,Turkish
AHMED,Bosnian
AHMED,Dhivehi
AHMED,Bengali
AHMED,Arabic
AHMED,Urdu
AHMED,Pashto
AHMET,Turkish
AHMOSE,Ancient Egyptian
AHOTH,Biblical Latin
AHRIMAN,Persian Mythology
AHTAHKAKOOP,Indigenous American
AHTAHKAKOOP,Cree
AHTI,Finnish
AHTI,Estonian
AHTI,Finnish Mythology
AHURA MAZDA,Persian Mythology
AHUVA,Hebrew
AI ,Japanese
AI ,Chinese
AIAS,Greek Mythology
AIBEK,Kazakh
AIBEK,Kyrgyz
AÏCHA,Arabic
AÏCHATOU,Western African
AIDA,Arabic
AIDA,Bosnian
AIDA,Albanian
AIDA,Literature
AIDAN,Irish
AIDAN,Scottish
AIDAN,English
AIDAY,Kazakh
AIDEEN,Irish
AIDEN,English
AIFRIC,Irish
AIFRIC,Scottish
AIGERIM,Kazakh
AIGLE,Greek Mythology
AIGNÉIS,Irish
AIGUL,Kazakh
AIGUL,Kyrgyz
AIKATERINE,Ancient Greek
AIKATERINI,Greek
AIKE,Frisian
AIKO,Japanese
AILA,Finnish
AILBHE,Irish
ÁILE,Sami
AILEAS,Scottish
AILEEN,Scottish
AILEEN,Irish
AILEEN,English
AILEN,Indigenous American
AILEN,Mapuche
AILI,Finnish
AILI,Estonian
AILILL,Irish
AILILL,Irish Mythology
AILÍN,Irish
AILÍS,Irish
AILPEIN,Scottish
AILSA,Scottish
AIMAN ,Kazakh
AIMAN ,Arabic
AIMÉ,French
AIMÉE,French
AIMEE,English
AIMI,Japanese
AIMILIOS,Greek
AIMO,Finnish
AIN,Estonian
AINA ,Finnish
AINA ,Swedish
AINA ,Norwegian
AINA ,Danish
AINA ,Catalan
AINA ,Japanese
AINA ,Latvian
AINA ,Kazakh
AINARA,Basque
AINARA,Spanish
AINĀRS,Latvian
AINDREA,Scottish
AINDRÉAS,Irish
AINDRIÚ,Irish
ÁINE,Irish
AINEIAS,Greek Mythology
AINGEAL,Irish
AINGERU,Basque
AINHOA,Basque
AINO,Finnish
AINO,Estonian
AINO,Finnish Mythology
AINOA,Spanish
AINSLEE,English
AINSLEY,Scottish
AINSLEY,English
AINSLIE,English
AINTZA,Basque
AINTZANE,Basque
AINUR,Kazakh
AINURA,Kyrgyz
AIOLOS,Greek Mythology
AIRA,Finnish
AIRI ,Japanese
AIRI ,Finnish
AISCHYLOS,Ancient Greek
'AISHA,Arabic
A'ISHA,Arabic
AISHA,Arabic
AISHA,Urdu
AISHA,American
AISHAH,Arabic
AISHAH,Malay
AISHAT,Chechen
AISHATH,Dhivehi
AISHATU,Western African
AISHATU,Hausa
AISHWARYA,Indian
AISHWARYA,Hindi
AISHWARYA,Marathi
AISHWARYA,Kannada
AISHWARYA,Malayalam
AISHWARYA,Tamil
AISLIN,Irish
AISLING,Irish
AISLINN,Irish
AISOPOS,Ancient Greek
AÏSSA,Western African
AÏSSATOU,Western African
AISTĖ,Lithuanian
AISYAH,Indonesian
AITANA,Spanish
AITHAN,Biblical Greek
AITHNE,Irish
AITOR,Basque
AITOR,Spanish
AIVAR,Estonian
AIVARS,Latvian
AIZA,Urdu
AIZAH,Urdu
AJAX,Greek Mythology
AJAY,Indian
AJAY,Hindi
AJAY,Marathi
AJAY,Gujarati
AJAY,Bengali
AJAY,Telugu
AJAY,Kannada
AJAY,Malayalam
AJAY,Tamil
AJDA ,Turkish
AJDA ,Slovene
AJDIN,Bosnian
AJEET,Indian
AJEET,Hindi
AJEET,Marathi
AJEET,Punjabi
AJEET,Bengali
AJIT,Indian
AJIT,Hindi
AJIT,Marathi
AJIT,Punjabi
AJIT,Bengali
AJITH,Tamil
AJITH,Indian
AJITH,Malayalam
AJLA,Bosnian
AJNA,Bosnian
AJNUR,Bosnian
AJŠA,Bosnian
AKACHI,Western African
AKACHI,Igbo
AKAKI,Georgian
AKAKIOS,Greek
AKAKIOS,Ancient Greek
AKAMU,Hawaiian
AKANE,Japanese
AKANKSHA,Indian
AKANKSHA,Hindi
AKANTHA,Greek Mythology
AKARI,Japanese
AKASH,Indian
AKASH,Hindi
AKASH,Marathi
AKASH,Bengali
AKBAR,Arabic
AKBAR,Persian
AKBAR,Urdu
AKBAR,Pashto
AKBAR,Indonesian
AKBAR,Indian
ÅKE,Swedish
AKEEM,African American
AKEMI,Japanese
AKHENATEN,Ancient Egyptian
AKHENATON,Ancient Egyptian
AKHIL,Indian
AKHIL,Hindi
AKHIL,Telugu
AKHIL,Malayalam
AKHILA,Indian
AKHILA,Telugu
AKHILA,Malayalam
AKHMAD,Chechen
AKHMAD,Ingush
AKHMAD,Indonesian
ÁKI,Ancient Scandinavian
ÁKI,Icelandic
AKI ,Finnish
AKI ,Japanese
AKIBA,Hebrew
AKIHIKO,Japanese
AKIHITO,Japanese
AKIKO,Japanese
AKILAH,Arabic
AKILINA,Russian
AKIM,Russian
AKIMITSU,Japanese
AKINYI,Eastern African
AKINYI,Luo
AKIO,Japanese
AKIRA,Japanese
AKIVA,Hebrew
AKMAD,Filipino
AKMAD,Maguindanao
AKMAD,Tausug
AKONI,Hawaiian
ÁKOS,Hungarian
AKOSUA,Western African
AKOSUA,Akan
AKPAN,Western African
AKPAN,Ibibio
AKPOFURE,Western African
AKPOFURE,Urhobo
AKRAM,Arabic
AKSANA,Belarusian
AKSEL,Danish
AKSEL,Norwegian
AKSELI,Finnish
AKSHAY,Indian
AKSHAY,Hindi
AKSHAY,Marathi
AKSHAY,Gujarati
AKSHAY,Kannada
AKSINIA,Bulgarian
AKSINIA,Russian
AKSINYA,Russian
AKU ,Finnish
AKU ,Western African
AKU ,Ewe
AKUA,Western African
AKUA,Akan
AKUCHI,Western African
AKUCHI,Igbo
AKULINA,Russian
AKVILĖ,Lithuanian
AL,English
ALA,Arabic
ALA AL-DIN,Arabic
ALAATTIN,Turkish
ALABA,Western African
ALABA,Yoruba
ALADDIN,Literature
ALAIA,Basque
ALAIN,French
ALAINA,English
ALAIYA,English
ALAJOS,Hungarian
AL-AMIR,Arabic
ALAN,English
ALAN,Scottish
ALAN,Breton
ALAN,French
ALANA,English
ALANA,Breton
ALANI,English
ALANIS,English
ALANNA,English
ALANNAH,English
ALANNAH,Irish
ALANNIS,English
ALAOIS,Irish
ALARD,Ancient Germanic
ALARIC,Ancient Germanic
ALASDAIR,Scottish
ALASSANE,Western African
ALASTAIR,Scottish
ALASTAR,Irish
ALASTRÍONA,Irish
ALAYA,English
ALAYAH,English
ALAYNA,English
ALAZNE,Basque
ALBA ,Italian
ALBA ,Spanish
ALBA ,Catalan
ALBA ,Ancient Roman
ALBA ,Ancient Germanic
ALBAER,Limburgish
ALBAN,German
ALBAN,French
ALBAN,Albanian
ALBAN,English
ALBANO,Italian
ALBANO,Portuguese
ALBANO,Spanish
ALBANUS,Ancient Roman
ALBENA,Bulgarian
ALBERIC,Germanic Mythology
ALBERICH,Ancient Germanic
ALBERICH,Germanic Mythology
ALBERICO,Italian
ALBERT,English
ALBERT,French
ALBERT,Catalan
ALBERT,German
ALBERT,Polish
ALBERT,Russian
ALBERT,Dutch
ALBERT,Swedish
